,Ciudad,Pais,PM25,PM10,O3,NO2,CO,Fecha
149,Berlin,Germany,,12.0,17.0,30.0,,2018-01-08
150,Berlin,Germany,,27.0,14.0,30.0,,2018-01-09
151,Berlin,Germany,,35.0,2.0,30.0,,2018-01-10
152,Berlin,Germany,,51.0,,26.0,,2018-01-11
153,Berlin,Germany,,51.0,2.0,20.0,,2018-01-12
154,Berlin,Germany,,48.0,18.0,18.0,,2018-01-13
155,Berlin,Germany,,36.0,15.0,18.0,,2018-01-14
156,Berlin,Germany,,29.0,10.0,23.0,,2018-01-15
157,Berlin,Germany,,35.0,15.0,28.0,,2018-01-16
158,Berlin,Germany,,19.0,17.0,31.0,,2018-01-17
159,Berlin,Germany,,27.0,21.0,23.0,,2018-01-18
160,Berlin,Germany,,13.0,14.0,33.0,,2018-01-19
161,Berlin,Germany,,22.0,11.0,30.0,,2018-01-20
162,Berlin,Germany,,26.0,9.0,22.0,,2018-01-21
163,Berlin,Germany,,32.0,14.0,28.0,,2018-01-22
164,Berlin,Germany,,37.0,9.0,29.0,,2018-01-23
165,Berlin,Germany,,41.0,12.0,23.0,,2018-01-24
166,Berlin,Germany,,18.0,14.0,34.0,,2018-01-25
167,Berlin,Germany,,17.0,9.0,35.0,,2018-01-26
168,Berlin,Germany,,33.0,12.0,25.0,,2018-01-27
169,Berlin,Germany,,37.0,18.0,11.0,,2018-01-28
170,Berlin,Germany,,17.0,20.0,18.0,,2018-01-29
171,Berlin,Germany,,23.0,19.0,25.0,,2018-01-30
172,Berlin,Germany,,21.0,11.0,26.0,,2018-01-31
173,Berlin,Germany,,18.0,21.0,31.0,,2018-02-01
174,Berlin,Germany,,26.0,14.0,28.0,,2018-02-02
175,Berlin,Germany,,22.0,12.0,20.0,,2018-02-03
176,Berlin,Germany,,20.0,16.0,17.0,,2018-02-04
177,Berlin,Germany,,20.0,24.0,25.0,,2018-02-05
178,Berlin,Germany,,28.0,21.0,43.0,,2018-02-06
179,Berlin,Germany,,42.0,16.0,27.0,,2018-02-07
180,Berlin,Germany,,57.0,12.0,42.0,,2018-02-08
181,Berlin,Germany,,63.0,10.0,40.0,,2018-02-09
182,Berlin,Germany,,63.0,7.0,28.0,,2018-02-10
183,Berlin,Germany,,61.0,17.0,20.0,,2018-02-11
184,Berlin,Germany,,32.0,11.0,27.0,,2018-02-12
185,Berlin,Germany,,27.0,17.0,39.0,,2018-02-13
186,Berlin,Germany,,48.0,16.0,41.0,,2018-02-14
187,Berlin,Germany,,49.0,16.0,27.0,,2018-02-15
188,Berlin,Germany,,46.0,13.0,32.0,,2018-02-16
189,Berlin,Germany,,46.0,16.0,34.0,,2018-02-17
190,Berlin,Germany,,39.0,24.0,28.0,,2018-02-18
191,Berlin,Germany,,28.0,16.0,38.0,,2018-02-19
192,Berlin,Germany,,43.0,18.0,28.0,,2018-02-20
